Apple,0,0,0,0
Samsung,0,0,0,0
Google,0,0,0,0
Apple,0,0,0,0
Samsung,0,0,0,0
Google,0,0,0,0
apple samsung,0,0,0,0
apple,0,0,0,0
samsung,0,0,0,0
Apple,0,0,0,0
Samsung,0,0,0,0
Apple,0,0,0,0
Apple,0,0,0,0
Samsung,0,0,0,0
Apple,0,0,0,0
Samsung,0,0,0,0
Apple,0,0,0,0
Apple,6,3,1,0.3
Apple,6,1,3,75,Low Risk
Apple,6,1,3,75,Low Risk
Samsung,6,3,1,65,Moderate Risk
Apple,0,0,0,50,Unknown
Apple,8,0,2,90,Low Risk
Apple,6,1,3,75,Low Risk
Samsung,9,0,1,95,Low Risk
Tata,10,0,0,100,Low Risk
Tata,10,0,0,100,Low Risk
Mahindra,6,0,4,80,Low Risk
Tata,10,0,0,100,Low Risk
Mahindra,6,0,4,80,Low Risk
Maruti Suzuki,7,0,3,85,Low Risk
Ashok Leyland,8,0,2,90,Low Risk
Bajaj,10,0,0,100,Low Risk
BJP,5,5,0,50,High Risk
Cricket,4,5,1,45,High Risk
Tata,9,1,0,90,Low Risk
Mahindra,6,0,4,80,Low Risk
Tesla,4,5,1,45,High Risk
BMW,0,10,0,0,High Risk
tesla,2,7,1,25,High Risk
bmw,0,6,4,20,High Risk
Apple,5,4,1,55,Moderate Risk
samsung,6,3,1,65,Moderate Risk
tesla,2,7,1,25,High Risk
bmw,0,6,4,20,High Risk
tesla,2,7,1,25,High Risk
bmw,0,6,4,20,High Risk
mahindra,7,3,0,70,Moderate Risk
volvo,7,1,2,80,Low Risk
tata moters,0,0,0,50,Unknown
Apple,5,4,1,55,Moderate Risk
samsung,6,3,1,65,Moderate Risk
basf india,5,1,0,83,Low Risk
basf india,5,1,0,83,Low Risk
godrej,6,4,0,60,Moderate Risk
hindustan lever,0,0,0,50,Unknown
